"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\.prettierrc.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\ReactQueryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\actor\[actorId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\auth\callback\route.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 5, 46
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 23, 1, 4, 28
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 4, 60
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\list\[listId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\movie\[movieId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\movies\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\myLists\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\myReviews\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\app\unauthenticated\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\middleware.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\HomepageBanner\HomepageBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 11, 59
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\SearchResultsPage\SearchResultsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\SearchResultsPage\SearchResultsPageEmptyQuery\SearchResultsPageEmptyQuery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\SearchResultsPage\SearchResultsPageSkeleton\SearchResultsPageSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\Search\Searchbar\Searchbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton\PosterLinkListSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLinkListSkeleton\PosterLinkSkeleton\PosterLinkSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\PosterLinkList\PosterLink\PosterLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\TopMovies\TopMoviesHomepage\TopMoviesHomepage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyLists\MyLists.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 7, 82
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyLists\MyListsSkeleton\MyListsSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyReviews\MyReviews.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\accountPage\Dashboard\MyReviews\MyReviewsSkeleton\MyReviewsSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorImage\ActorImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorKnownFor\ActorKnownFor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 3, 38
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorKnownFor\KnownForSingleMovie\KnownForSingleMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorMainInfo\ActorDatesBox\ActorDatesBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorMainInfo\ActorMainInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorPageSkeleton\ActorImageSkeleton\ActorImageSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorPageSkeleton\ActorInfoSkeleton\ActorInfoSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actorPage\ActorPageSkeleton\ActorPageSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actors\schemas\useGetActor.schema.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actors\useGetActorById\apiUseGetActorById.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\actors\useGetActorById\useGetActorById.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\FormRow\FormRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\LoginForm\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 5, 60
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\RegisterForm\RegisterForm.schema.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\RegisterForm\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 8, 115
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\LogoutButton\LogoutButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\ListInfo\ListInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 9, 90
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\ListInfo\ListInfoSkeleton\ListInfoSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\MoviePreview\MoviePreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\MoviePreview\MoviePreviewSkeleton\MoviePreviewSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\AddToList\AddToList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\AddToList\SingleListAdd\SingleListAdd.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\AddToList\SingleListAdd\SingleListAddSkeleton\SingleListAddSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListCreator\ListCreator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 7, 92
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListPreview\ListPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 5, 64
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListPreview\MoviePreviewSmall\MoviePreviewSmall.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListPreview\MoviePreviewSmall\MoviePreviewSmallSkeleton\MoviePreviewSmallSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\moviesListSchema.schema.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useAddToMoviesList\apiUseAddToMoviesList.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 10, 43
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useAddToMoviesList\useAddToMoviesList.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useDeleteFromMoviesList\apiDeleteFromMoviesList.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 10, 41
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useDeleteFromMoviesList\useDeleteFromMoviesList.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useCreateMoviesList\apiUseCreateMoviesList.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useCreateMoviesList\useCreateMoviesList.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useDeleteMoviesList\apiUseDeleteMoviesList.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useDeleteMoviesList\useDeleteMoviesList.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetListsByUserId\apiUseGetMoviesListsByUserId.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetListsByUserId\useGetMoviesListsByUserId.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetSingleListByListId\apiUseGetMoviesListByListId.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
